"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","JoshAllenBrown Town Clowns","Brown Town Clowns","121.4","128.3"
"","Meadville Militia","Team Trosch","88.7","98.8"
"","Big Dick Nick","Dirty Dick Dave","80.5","94.2"
"","The Waiver Wire","Team Shernisky","91.8","94.8"
"","Team Girth Brooks","The Little Giants","65.6","129.5"
"","The Brady Bunch","Medical Malpractice","121.1","69.1"
"","Black Juliet's","Diddlers on the Roof","93.1","85.0"
"","JoshAllenBrown Town Clowns","Black Juliet's","74.9","73.0"
"","Team Trosch","Dirty Dick Dave","128.6","124.4"
"","Team Shernisky","Meadville Militia","101.3","45.3"
"","The Little Giants","Big Dick Nick","162.0","88.1"
"","Medical Malpractice","The Waiver Wire","58.4","62.3"
"","Diddlers on the Roof","Team Girth Brooks","101.7","102.1"
"","Brown Town Clowns","The Brady Bunch","111.8","110.8"
"","Team Girth Brooks","JoshAllenBrown Town Clowns","87.3","123.3"
"","Team Shernisky","Team Trosch","81.0","115.3"
"","Dirty Dick Dave","The Little Giants","118.3","103.0"
"","Meadville Militia","Medical Malpractice","129.6","52.8"
"","Big Dick Nick","Diddlers on the Roof","65.1","88.5"
"","The Waiver Wire","Brown Town Clowns","89.0","98.1"
"","The Brady Bunch","Black Juliet's","80.6","106.7"
